English,Dutch
acquainted,bekend
acquiescence,berusting
acquire,verwerven
acquiring,verwerven
acquisition,acquisitie
acquisitions,overnames
acreage,oppervlakte
acres,acres
acrobat,acrobaat
act,handelen
acting,waarnemend
action,actie
actionable,actiegericht
active,actief
activity,activiteit
actor,acteur
actual,werkelijk
actuality,actualiteit
actuary,actuaris
acuity,scherpheid
acumen,scherpzinnigheid
acupuncture,acupunctuur
acutely,acuut
adage,gezegde
adamant,onvermurwbaar
adapt,aanpassen
adaptable,aanpasbaar
add,toevoegen
added,toegevoegd
addendum,bijvoegsel
adder,adder
addiction,verslaving
addition,toevoeging
additional,extra
additive,toevoeging
address,adres
addressee,geadresseerde
addresses,adressen
adept,bedreven
adequacy,toereikendheid
adequate,voldoende
adhere,aanhangen
adherence,aanhankelijkheid
adherent,aanhanger
adhering,naleven
adhesion,adhesie
adhesive,lijm
adieu,adieu
adipose,vet
adjacency,nabijheid
adjacent,aangrenzend
adjective,adjectief
adjoining,aangrenzende
adjourn,verdagen
adjournment,verdaging
adjudicate,berechten
adjudication,toewijzing
adjunct,toevoegsel
adjust,aanpassen
adjustment,aanpassing
adjuvant,adjuvant
administer,beheren
administration,administratie
administrative,administratief
admirable,bewonderenswaardig
admiral,admiraal
admiralty,admiraliteit
admiration,bewondering
admire,bewonderen
admirer,bewonderaar
admissibility,toelaatbaarheid
admissible,toelaatbaar
admission,toelating
admit,toegeven
admittance,toegang
admitted,toegelaten
admitting,toelaten
admixture,toevoegsel
admonition,vermaning
ado,ophef
adobe,adobe
adolescence,adolescentie
adolescent,puber
adopt,adopteren
adoption,adoptie
adorable,aanbiddelijk
adoration,aanbidding
adore,aanbidden
adorn,versieren
adornment,versiering
adrift,drijvend
adult,volwassen
adulterated,vervalste
adultery,overspel
advance,voorschot
advanced,gevorderd
advancement,vordering
advancing,oprukkende
advantage,voordeel
advantageous,voordelig
advent,advent
adventure,avontuur
adventurer,avonturier
adventurous,avontuurlijk
adversary,tegenstander
adverse,nadelige
adversity,tegenspoed
advertise,adverteren
advertisement,advertentie
advice,advies
advisable,raadzaam
advise,adviseren
advised,adviseerde
advisement,advisement
adviser,raadgever
advocacy,voorspraak
advocate,pleitbezorger
aegis,aegis
aeration,beluchting
aerial,antenne
aerodrome,vliegterrein
aerodynamics,aërodynamica
aeronautics,luchtvaart
aeroplane,vliegtuig
aesthetic,aesthetisch
aesthetics,schoonheidsleer
aetiology,etiologie
afar,ver
affable,minzaam
affair,affaire
affecting,invloed
affection,genegenheid
affections,genegenheid
affiche,affiche
affidavit,beëdigde verklaring
affiliated,aangesloten
affiliation,aansluiting
affinity,affiniteit
affirm,bevestigen
affirmation,bevestiging
affirmative,bevestigend
affirmatively,bevestigend
affix,hechten
afflict,teisteren
afflicted,geteisterd
affliction,droefenis
affluence,rijkdom
affluent,zijrivier
afford,veroorloven
affront,belediging
afield,weg
afore,voor-
aforementioned,voornoemd
aforesaid,voornoemd
afraid,bang
afresh,opnieuw
aft,achteruit
aftermath,nasleep
afternoon,middag
aftertaste,nasmaak
afterthought,nadere overweging
aga,aga
agate,agaat
age,leeftijd
aged,oud
agency,agentschap
agent,agent
agglomeration,opeenhoping
aggravated,verergerd
aggravating,verzwarend
aggravation,verergering
aggregate,aggregaat
aggregation,aggregatie
aggression,agressie
aggressive,agressief
aggressor,agressor
aghast,ontzet
agile,behendig
agility,behendigheid
agitated,opgewonden
agitation,agitatie
agnostic,agnostisch
ago,geleden
agonizing,pijnlijke
agony,doodsangst
agree,overeenkomen
agreeable,aangenaam
agreed,afgesproken
agreeing,akkoord
agreement,overeenkomst
agricultural,agrarisch
agriculture,landbouw
aground,gestrand
agua,agua
ahead,een hoofd
aid,hulp
aiding,medeplichtigheid
ail,ail
ailing,ziekelijk
ailment,kwaal
aim,doel
aimless,doelloos
air,lucht
airbag,airbag
airlift,luchtbrug
airline,vliegmaatschappij
airman,vliegenier
airplane,vliegtuig
airport,luchthaven
airs,airs
airship,luchtschip
aisle,gangpad
ait,ait
ajar,op een kier
akin,verwant
alabaster,albast
alarm,alarm
alarming,zorgwekkend
alb,albe
album,album
alchemy,alchimie
alcohol,alcohol
alcoholism,alcoholisme
alcove,alkoof
alert,alarm
alertness,waakzaamheid
alerts,waarschuwingen
alfalfa,luzerne
algebra,algebra
algebraic,algebraïsch
algorithm,algoritme
alibi,alibi
alien,vreemd
alienate,vervreemden
alienated,vervreemd
alienation,vervreemding
alight,uitstappen
aligned,uitgelijnd
alignment,opstelling
alike,gelijk
alimentation,voeding
alimony,alimentatie
aliquot,evenmatig
alive,levend
alkali,alkali
alkaloids,alkaloïden
allay,verminderen
allegation,bewering
allege,aanvoeren
alleged,vermeende
allegiance,trouw
allegorical,allegorisch
allegory,allegorie
allegro,allegro
alleviate,verlichten
alleviation,verlichting
alley,steeg
alliance,bondgenootschap
allied,geallieerd
alligator,alligator
allocate,toewijzen
allocation,toewijzing
allot,toewijzen
allotment,toewijzing
allowable,toelaatbaar
allowance,toelage
allowed,toegestaan
alloy,legering
allure,aanlokken
alluring,aanlokkelijk
allusion,toespeling
alluvial,alluviaal
ally,bondgenoot
almanac,almanak
almighty,almachtig
aloft,omhoog
aloha,aloha
alongside,naast
aloof,afzijdig
aloud,hardop
alphabet,alfabet
alphabetical,alfabetisch
altar,altaar
alter,wijzigen
alteration,wijziging
altercation,woordenwisseling
altered,gewijzigd
alternate,afwisselend
alternative,alternatief
altitude,hoogte
alto,alt
altogether,helemaal
alumnus,oud-leerling
alveolar,alveolaar
amalgam,amalgaam
amalgamation,vermenging
amass,ophopen
amateur,amateur
amaze,verbazen
amazement,verbazing
amazingly,verbazend
ambassador,ambassadeur
amber,amber
ambient,omringend
ambiguity,dubbelzinnigheid
ambiguous,dubbelzinnig
ambit,omvang
ambition,ambitie
ambitious,ambitieus
ambulance,ambulance
ambush,hinderlaag
ameliorate,verbeteren
amen,amen
amenable,vatbaar
amend,amenderen
amendment,wijziging
amends,compensatie
amenity,faciliteiten
amethyst,amethist
amiable,beminnelijk
amicable,minnelijk
amid,midden
amidst,midden
ammonia,ammonia
ammunition,munitie
amnesia,geheugenverlies
amnesty,amnestie
amorphous,amorfe
amortization,amortisatie
amount,bedrag
amour,amour
ampersand,ampersand
amphetamines,amfetaminen
amphibian,amfibie
amphibious,amfibisch
amphitheater,amfitheater
amplification,versterking
amplify,versterken
amplitude,amplitude
amply,ruimschoots
amputation,amputatie
amulet,amulet
amuse,amuseren
amused,geamuseerd
amusement,amusement
amusing,vermakelijk
ana,een A
anaconda,anaconda
anaesthesia,anesthesie
anaesthetic,verdovingsmiddel
anal,anaal
analgesic,pijnstillend
analogous,analoog
analogue,analoog
analogy,analogie
analysis,analyse
analyst,analyst
analytic,analytisch
analyze,analyseren
analyzer,analyser
anarchism,anarchisme
anarchist,anarchist
anarchy,anarchie
anastomosis,anastomose
anathema,anathema
anatomic,anatomisch
anatomy,anatomie
ancestor,voorvader
ancestral,voorouderlijke
ancestry,afkomst
anchor,anker
anchorage,ankerplaats
ancient,oude
ancillary,ondergeschikt
androgen,androgeen
anemone,anemoon
anew,een nieuwe
angel,engel
angelic,engelachtig
anger,boosheid
angina,angina
angiography,angiografie
angle,hoek
angling,hengelen
angry,boos
anguish,angst
angular,hoekig
anhydrous,watervrij
animal,dier
animate,bezielen
animated,geanimeerde
animation,animatie
animosity,vijandigheid
animus,animositeit
ankle,enkel
annals,annalen
annex,bijgebouw
annexation,annexatie
annexe,bijgebouw
annihilate,vernietigen
annihilated,vernietigd
annihilation,vernietiging
annotate,annoteren
annotation,aantekening
announce,aankondigen
announcement,aankondiging
annoy,ergeren
annoyance,ergernis
annoying,vervelend
annuity,lijfrente
annul,annuleren
annular,ringvormig
annulment,vernietiging
annulus,annulus
anointing,zalving
anomalous,abnormaal
anomaly,afwijking
anon,aanstonds
anonymous,anoniem
answer,antwoord
answerable,aansprakelijk
answering,antwoordapparaat
ant,mier
antagonism,antagonisme
antagonist,antagonist
antagonistic,vijandig
ante,ante
antecedent,antecedent
antelope,antilope
antenna,antenne
anterior,voorste
anthem,hymne
anthology,bloemlezing
anthrax,miltvuur
anthropology,antropologie
antibiotic,antibioticum
antibiotics,antibiotica
antichrist,antichrist
anticipation,verwachting
anticipatory,vooruitlopend
antidote,tegengif
antifungal,antifungale
antimony,antimonium
antipathy,antipathie
antiquarian,antiquair
antiquated,verouderd
antique,antiek
antiquity,oudheid
antiseptic,antiseptisch
antisocial,antisociaal
antithesis,tegenstelling
antithetical,tegengesteld
antiviral,antivirale
antler,gewei
anvil,aambeeld
anxiety,angst
anxious,angstig
aorta,aorta
apace,snel
apache,apache
apartment,appartement
apathetic,apathisch
apathy,apathie
ape,aap
aperture,opening
apex,top
aphid,bladluis
apiece,een stuk
aplomb,aplomb
apocalyptic,apocalyptische
apologetic,verontschuldigend
apologist,apologeet
apologize,verontschuldigen
apology,verontschuldiging
apostasy,afvalligheid
apostate,afvallige
apostle,apostel
apostolic,apostolisch
apostrophe,apostrof
appalling,verschrikkelijk
apparatus,apparaat
apparel,kleding
apparently,blijkbaar
apparition,verschijning
appeal,beroep
appearance,verschijning
appease,sussen
appellant,appellant
append,toevoegen
appendage,aanhangsel
appendicitis,appendicitis
appendix,appendix
appetite,eetlust
appetizer,voorgerechten
applause,applaus
apple,appel
appliance,toestel
appliances,huishoudelijke apparaten
applicability,toepasselijkheid
applicable,toepasselijk
applicant,aanvrager
application,toepassing
apply,toepassen
appoint,benoemen
appointment,afspraak
appointments,benoemingen
apportion,toewijzen
apportionment,verdeling
appraise,taxeren
appreciable,merkbaar
appreciation,waardering
apprehend,begrijpen
apprehension,aanhouding
apprehensive,beducht
apprentice,leerling
apprenticeship,leertijd
approach,benaderen
approaching,naderen
approbation,goedkeuring
appropriation,toeëigening
approval,goedkeuring
approve,goedkeuren
approving,goedkeuren
approximate,benaderend
approximately,ongeveer
approximating,benaderende
approximation,benadering
appurtenances,aanhorigheden
apron,schort
apt,geneigd
aptitude,geschiktheid
aqua,aqua
aquamarine,aquamarijn
aquarium,aquarium
aquatic,aquatisch
aqueduct,waterleiding
aqueous,waterig
arable,bebouwbaar
arbiter,arbiter
arbitrate,beslechten
arbitration,arbitrage
arbitrator,arbiter
arbor,prieel
arc,boog
arcade,zuilengang
arch,boog
archaeological,archeologische
archaeologist,archeoloog
archaeology,oudheidkunde
archaic,verouderd
archbishop,aartsbisschop
arched,gewelfd
archer,boogschutter
archery,boogschieten
archetype,archetype
archipelago,archipel
architect,architect
architecture,architectuur
archive,archief
arctic,arctisch
ardent,vurig
ardor,ijver
arduous,zwaar
area,gebied
arena,arena
areola,tepelhof
argent,zilver
argue,argumenteren
argument,argument
argumentation,redenering
argumentative,betogend
arguments,argumenten
arid,dor
aristocracy,aristocratie
aristocrat,aristocraat
aristocratic,aristocratisch
arithmetic,rekenkunde
ark,ark
arm,arm
armada,vloot
armament,bewapening
armaments,bewapening
armature,bewapening
armed,bewapend
armor,pantser
armored,gepantserd
armory,wapenkamer
arms,armen
army,leger
aroma,aroma
arousal,arousal
arouse,wekken
arraignment,aanklacht
arrange,regelen
arranged,gerangschikt
arrangement,arrangement
array,reeks
arrears,achterstand
arrest,arresteren
arrival,aankomst
arrive,aankomen
arrogance,arrogantie
arrogant,arrogant
arrow,pijl
arsenal,arsenaal
arsenic,arsenicum
arson,brandstichting
art,kunst
artery,slagader
artful,listig
arthropod,geleedpotigen
artichoke,artisjok
article,artikel
articles,artikels
articulate,articuleren
articulation,articulatie
artifice,kunstgreep
artillery,artillerie
artisan,ambachtsman
artist,kunstenaar
artiste,artiest
artistic,artistiek
artists,kunstenaars
ascend,opstijgen
ascendancy,overwicht
ascension,hemelvaart
ascent,beklimming
ascertain,nagaan
ascertained,vastgesteld
ascetic,ascetisch
ash,as
ashamed,beschaamd
ashes,as
asleep,in slaap
asp,adder
aspartame,aspartaam
aspect,aspect
aspects,aspecten
asphalt,asfalt
aspiration,aspiratie
aspire,streven
aspiring,eerzuchtig
ass,ezel
assail,bestormen
assailant,aanvaller
assassin,moordenaar
assassinate,vermoorden
assassination,moord
assault,aanval
assay,analyse
assemblage,verzameling
assemble,monteren
assembled,gemonteerd
assembly,montage
assent,instemming
assert,beweren
asserting,beweren
assertion,bewering
assess,schatten
assessment,aanslag
assessor,assessor
assets,activa
asshole,lul
assign,toewijzen
assignee,gevolmachtigde
assignment,toewijzing
assimilate,assimileren
assimilation,assimilatie
assist,helpen
assistance,hulp
assistant,assistent
associate,associëren
association,vereniging
assorted,geassorteerd
assortment,assortiment
assuage,stillen
assumed,veronderstelt
assuming,veronderstelling
assumption,onderstelling
assurance,zekerheid
assure,verzekeren
assured,verzekerd
assuredly,zeker
asterisk,asterisk
asteroids,asteroïden
astigmatism,astigmatisme
astonishingly,verbazend
astonishment,verbazing
astral,astraal
astray,op een dwaalspoor
astringent,samentrekkend
astrologer,astroloog
astrology,astrologie
astronaut,astronaut
astronomer,astronoom
astronomy,astronomie
astute,slim
asunder,uiteen
asylum,asiel
asymmetric,asymmetrisch
asymmetry,asymmetrie
asymptotic,asymptotische
atelier,atelier
atheism,atheïsme
atheist,atheïst
atheistic,atheïstische
atherosclerosis,atherosclerose
athlete,atleet
athletic,atletisch
athleticism,atletisch
athletics,atletiek
atlas,atlas
atmosphere,atmosfeer
atmospheric,atmosferisch
atoll,atol
atom,atoom
atomic,atomair
atone,verzoenen
atonement,verzoening
atrium,atrium
atrocious,afgrijselijk
atrocity,gruweldaad
atrophy,atrofie
attach,hechten
attachment,gehechtheid
attack,aanval
attacking,aanvallende
attain,bereiken
attainable,bereikbaar
attainment,bereiking
attempt,poging
attendance,opkomst
attendant,begeleider
attention,aandacht
attentive,aandachtig
attenuate,verzwakken
attenuated,verzwakt
attenuation,demping
attest,getuigen
attestation,getuigenis
attic,vliering
attire,kleding
attitude,houding
attorney,procureur
attraction,aantrekkelijkheid
attractiveness,aantrekkelijkheid
attributable,toe te schrijven
attribute,attribuut
attribution,attributie
attrition,wrijving
auburn,kastanjebruin
auction,veiling
auctioneer,veilingmeester
audacious,vermetel
audacity,vermetelheid
audible,hoorbaar
audience,toehoorders
audit,audit
audition,auditie
auditor,revisor
auditorium,gehoorzaal
auditory,gehoor-
aught,iets
augment,vergroten
augmentation,verhoging
august,augustus
aunt,tante
aura,aura
aurora,Aurora
auspices,auspiciën
auspicious,veelbelovend
austere,sober
austerity,strengheid
authentic,authentiek
authenticate,waarmerken
authentication,authenticatie
authenticity,echtheid
author,auteur
authoritative,gezaghebbend
authority,autoriteit
authorization,machtiging
authorize,machtigen
authorized,geautoriseerd
authorship,auteurschap
auto,auto
autobiography,autobiografie
autocratic,autocratisch
autograph,autograaf
automatic,automatisch
automobile,automobiel
autonomy,autonomie
autopsy,lijkschouwing
autumn,herfst
auxiliary,hulp-
avail,baten
avalanche,lawine
avarice,gierigheid
avatar,avatar
avenger,wreker
avenue,laan
aver,beweren
average,gemiddelde
averse,afkerig
aversion,een versie
avert,afwenden
aviary,volière
aviation,luchtvaart
aviator,vliegenier
avid,begerig
avocado,avocado
avoid,vermijden
avoidance,vermijding
avoiding,vermijden
await,wachten
awake,wakker
awaken,ontwaken
award,onderscheiding
awe,ontzag
awful,afschuwelijk
awkwardness,onhandigheid
awning,zonnetent
awry,scheef
axial,axiaal
axiom,axioma
axiomatic,axiomatisch
axis,as
axle,as
ay,ja
aye,aye
azimuth,azimuth
azure,azuur
babble,gebabbel
babbling,kabbelende
baboon,baviaan
baby,baby
babysitter,babysitter
baccalaureate,baccalaureaat
baccarat,baccarat
bachelor,vrijgezel
back,terug
backbone,ruggegraat
backer,voorstander
backfire,terugslaan
backgammon,backgammon
background,achtergrond
backhoe,backhoe
backpacker,backpacker
backtrack,breken met
backward,achterwaarts
backwards,achteruit
backwater,vergeten hoekje
bacteria,bacterie
bacterium,bacterie
bad,slecht
badge,insigne
badger,das
badly,slecht
badness,slechtheid
baffle,scherm
bag,zak
baggage,bagage
baggy,zakkerig
bagpipes,doedelzak
bail,borgtocht
bailiff,deurwaarder
bait,aas
bake,bakken
bakery,bakkerij
baking,bakken
bal,bal
balance,balans
balanced,evenwichtige
balcony,balkon
bald,kaal
bale,baal
balk,balk
ball,bal
ballad,ballade
ballast,ballast
ballet,ballet
balloon,ballon
ballot,stemming
ballroom,danszaal
balm,balsem
balmy,zoel
balsam,balsem
balsamic,balsamico
ban,ban
banana,banaan
band,band
bandage,zwachtel
bandit,bandiet
bandwagon,vrachtwagen met orkest
bane,verderf
bang,knal
banger,worstje
banish,verbannen
banished,verbannen
banishment,verbanning
banjo,banjo
bank,bank
banker,bankier
bankrupt,bankroet
bankruptcy,faillissement
banner,banier
banquet,banket
banshee,banshee
banter,scherts
baptism,doop
baptismal,doop
bar,bar
barb,weerhaak
barbarian,barbaar
barbaric,barbaars
barbarism,barbaarsheid
barbecue,barbecue
barbed,prikkeldraad
bard,bard
bareback,zonder zadel
barefoot,blootsvoets
barely,nauwelijks
barf,barf
bargain,koopje
barge,binnenschip
baritone,bariton
bark,schors
barn,schuur
barney,barney
barometer,barometer
baron,baron
baroque,barok
barrack,barak
barred,versperd
barrel,vat
barren,dor
barricade,barricade
barrier,barrière
barring,behoudens
barrister,advocaat
barrow,grafheuvel
bartender,barman
barter,ruilhandel
base,base
baseball,baseball
baseboard,plint
baseless,ongegrond
basement,kelder
basilica,basiliek
basin,bekken
basis,basis
bask,zich koesteren
basket,mand
basketball,basketbal
bass,bas
basso,bas
bassoon,fagot
bastard,bastaard
bastion,bastion
bat,vleermuis
batch,partij
batching,groeperen
bate,Bate
bath,bad
bathe,baden
bathroom,badkamer
bathymetry,meting van diepte
baton,wapenstok
battalion,bataljon
batter,beslag
battered,gehavend
battery,batterij
battle,gevecht
battled,vochten
battlefield,slagveld
bawdy,liederlijk
bay,baai
bayonet,bajonet
bayou,moerassige rivierarm
bazaar,bazaar
beach,strand
beacon,baken
bead,kraal
beading,kralen
beads,kralen
beagle,brak
beak,snavel
beaker,beker
beam,straal
beaming,stralend
bear,dragen
beard,baard
bearded,bebaarde
bearer,toonder
bearing,lager
bearings,lagers
bearish,nors
beast,beest
beastly,beestachtig
beat,slaan
beating,afstraffing
beau,galant
beautification,verfraaiing
beautiful,mooi
beautify,mooi maken
beauty,schoonheid
beck,wenk
beckon,wenken
bed,bed
bedding,beddegoed
bedrock,grondslag
bedroom,slaapkamer
bedtime,bedtijd
bee,honingbij
beef,rundvlees
beehive,bijenkorf
beer,bier
beeswax,bijenwas
beetle,kever
befall,overkomen
befitting,passend
befriend,bevriend
beg,bedelen
beggar,bedelaar
begging,bedelarij
begin,beginnen
beginner,beginner
beginning,begin
begun,begonnen
behavior,gedrag
behemoth,nijlpaard
behest,opdracht
behold,aanschouwen
beholden,verplicht
beholder,aanschouwer
belated,verlate
belay,vastsjorren
belief,geloof
believed,geloofde
believer,gelovige
believing,geloven
belittle,kleineren
bell,bel
belligerent,strijdlustig
bellow,blaten
bellows,blaasbalg
belly,buik
belongings,toebehoren
belt,riem
bemused,onrustig
bench,bank
bend,bocht
bender,nijptang
bending,verbuiging
beneath,onder
benefactor,weldoener
beneficial,voordelig
beneficiary,begunstigde
benefit,voordeel
benevolence,welwillendheid
benign,goedaardig
bent,gebogen
benzene,benzine
bequeath,nalaten
bequest,legaat
bereaved,nabestaanden
bereavement,sterfgeval
bereft,beroofd
bergamot,bergamot
berlin,berlin
berserk,gek
berth,ligplaats
beseech,smeken
beset,bestoken
bestial,beestachtig
bestow,schenken
bet,weddenschap
betray,verraden
betrayal,verraad
betrothed,verloofd
betterment,verbetering
betting,wedden
betty,betty
bevel,schuin
beverage,drank
bevy,schare
beware,oppassen
bewildered,verbijsterd
bewilderment,verbijstering
bias,vooringenomenheid
biased,vooringenomen
bib,slabbetje
biblical,bijbels
bibliography,bibliografie
bickering,gekibbel
bicolor,bicolor
bicycle,fiets
bid,bod
bidder,bieder
bidding,bod
biennial,tweejarig
bier,lijkbaar
bifurcation,splitsing
big,groot
bigot,onverdraaglijke
bigoted,kwezelachtig
bike,fiets
bilateral,bilaterale
bilayer,bilayer
bile,gal
bilge,kim
bilingual,tweetalig
bill,rekening
billet,blok hout
billiards,biljart
billion,miljard
billy,Billy
bimonthly,tweemaandelijks
bin,bak
binary,binair
bind,binden
bindery,boekbinderij
binding,bindend
bing,bing
binocular,verrekijker
binoculars,kijker
binomial,binomium
biogenesis,biogenesis
biographer,biograaf
biography,biografie
biology,biologie
biopsy,biopsie
biosphere,biosfeer
bipartite,tweedelig
birch,berk
bird,vogel
birth,geboorte
birthday,verjaardag
birthplace,geboorteplaats
birthright,geboorterecht
bis,bis
bisexual,biseksueel
bishop,bisschop
bison,bizon
bit,bit
bitch,teef
bite,bijten
bitterly,bitter
bitterness,bitterheid
bitumen,asfalt
biweekly,tweewekelijks
bizarre,bizar
black,zwart
blackberry,braam
blackboard,schoolbord
blackjack,ploertendoder
blackmail,chantage
blackness,zwartheid
blacksmith,smid
bladder,blaas
blade,mes
blame,schuld
blameless,onberispelijk
bland,zacht
blank,blanco
blanket,deken
blasphemous,godslasterlijk
blasphemy,godslastering
blast,ontploffing
blatant,onverholen
blather,kletsen
blaze,bles
blazing,brandend
bleach,bleekmiddel
bleak,kil
bleeding,bloeden
blemish,smet
blend,mengsel
blending,blending
bless,zegenen
blessed,gezegend
blessing,zegen
blessings,zegeningen
blight,meeldauw
blighted,ellendig
blind,Blind
blinded,verblind
blindfold,geblinddoekt
blindfolded,geblinddoekt
blindly,blindelings
blindness,blindheid
blink,knipperen
bliss,gelukzaligheid
blissful,zalig
blister,blaar
blitz,blitz
blizzard,sneeuwstorm
bloated,opgeblazen
blob,bobbel
block,blok
blockade,blokkade
blond,blond
blood,bloed
bloodhound,bloedhond
bloodless,bloedeloos
bloodshed,bloedvergieten
bloodthirsty,bloeddorstig
bloody,bloedig
bloom,bloeien
blossom,bloesem
blot,vlek
blouse,blouse
blower,blazer
blowing,blazen
blown,geblazen
blowout,uitblazen
blue,blauw
blues,blues
bluff,bluffen
bluish,blauwachtig
blunder,flater
blunt,stomp
blur,vervagen
blurred,wazig
blush,blozen
blushing,blozen
boa,boa
boar,mannetjesvarken
board,boord
boarder,kostganger
boarding,boarding
boards,boards
boast,grootspraak
boasting,opscheppen
boat,boot
boating,varen
bobbin,spoel
bode,voorspellen
bodice,lijfje
bodily,lichamelijk
body,lichaam
bodyguard,lijfwacht
bog,moeras
bogus,vals
boil,koken
boiler,boiler
boilerplate,boilerplate
boiling,kookpunt
boisterous,onstuimig
bold,gedurfd
boldness,vrijmoedigheid
bolster,ondersteunen
bolt,bout
bolus,pil
bomb,bom
bombard,bombarderen
bombardment,bombardement
bombed,gebombardeerd
bomber,bommenwerper
bonanza,welvaart
bond,obligatie
bondage,slavernij
bonds,obligaties
bone,bot
boner,boner
bones,botten
bonfire,vreugdevuur
bonne,bonne
bonnet,motorkap
bonus,bonus
bony,benig
boo,boe
boob,lobbes
booby,domoor
book,boek
bookcase,boekenkast
booking,reservering
bookish,boekachtig
bookkeeper,boekhouder
bookkeeping,boekhouden
booklet,boekje
books,boeken
bookseller,boekhandelaar
bookshop,boekenwinkel
bookstore,boekenwinkel
bookworm,boekenworm
boomerang,boemerang
booming,booming
boon,zegen
boost,boost
booster,booster
boot,laars
booth,kraam
boots,laarzen
booty,buit
booze,drank
border,grens
bordering,grenzend
bore,vervelen
boreal,boreale
boredom,verveling
borer,boorder
boring,vervelend
borough,stad
borrow,lenen
borrower,lener
bosom,boezem
boss,baas
boston,Boston
botanical,botanisch
botanist,botanist
botany,plantkunde
bother,hinderen
bothering,dwars
bottle,fles
bottom,bodem
bottomless,bodemloos
boulder,rotsblok
bounce,stuiteren
bound,gebonden
boundary,grens
boundless,grenzeloos
bounds,bounds
bountiful,overvloedig
bounty,gave
bouquet,boeket
bourgeois,burgerlijk
bourgeoisie,burgerij
bourse,bourse
bout,aanval
bovine,rund
bowed,boog
bowels,ingewanden
bowl,kom
bowls,kommen
box,doos
boxer,bokser
boxing,boksen
boy,jongen
boycott,boycot
boyhood,jongensjaren
boyish,jongensachtig
brace,accolade
bracelet,armband
braces,bretels
brachial,brachialis
bracket,console
brackets,beugels
brackish,brak
brad,spijker zonder kop
brag,opscheppen
braid,vlecht
brain,hersenen
brains,hersenen
brainstorm,brainstorm
brake,rem
bran,zemelen
branch,tak
branching,vertakking
brandy,brandewijn
brass,messing
brat,kind
bravado,bravade
bravery,moed
brawl,ruzie
brazen,bronzen
breach,inbreuk
bread,brood
breadth,breedte
break,breuk
breakable,breekbaar
breakdown,kapot gaan
breaker,breker
breakers,branding
breakfast,ontbijt
breakneck,halsbrekend
breakup,uit maken
breath,adem
breech,sluitstuk
breeches,korte broek
breed,fokken
breeder,fokker
breeding,teelt
breeze,bries
breezy,luchtig
brethren,broeders
breve,breve
brevity,beknoptheid
brew,brouwen
brewing,bierbrouwerij
bribe,omkopen
bribery,omkoperij
brick,baksteen
bridal,bruids
bride,bruid
bridegroom,bruidegom
bridesmaid,bruidsmeisje
bridge,bridge
bridle,teugel
briefly,kort
brig,brik
brigade,brigade
brighten,opvrolijken
